N,Time
1096,9173
1097,9190
1098,9206
1099,9223
1100,9240
1101,9257
1102,9273
1103,9289
1104,9305
1105,9320
1106,9336
1107,9354
1108,9369
1109,9386
1110,9406
1111,9423
1112,9440
1113,9457
1114,9473
1115,9489
1116,9505
1117,9522
1118,9538
1119,9553
1120,9569
1121,9586
1122,9603
1123,9619
1124,9637
1125,9653
1126,9669
1127,9686
1128,9703
1129,9720
1130,9736
1131,9753
1132,9769
1133,9785
1134,9804
1135,9821
1136,9838
1137,9855
1138,9870
1139,9886
1140,9903
1141,9926
1142,9942
1143,9959
1144,9975
1145,9991
1146,10007
1147,10023
1148,10040
1149,10056
1150,10074
1151,10092
1152,10108
1153,10125
1154,10142
1155,10159
1156,10176
1157,10193
1158,10210
1159,10226
1160,10244
1161,10261
1162,10277
1163,10293
1164,10310
1165,10326
1166,10343
1167,10360
1168,10377
1169,10393
1170,10410
1171,10427
1172,10444
1173,10467
1174,10484
1175,10502
1176,10519
1177,10535
1178,10552
1179,10568
1180,10584
1181,10600
1182,10616
1183,10632
1184,10650
1185,10666
1186,10683
1187,10699
1188,10716
1189,10733
1190,10748
1191,10765
1192,10782
1193,10799
1194,10816
1195,10832
1196,10850
1197,10866
1198,10882
1199,10902
1200,10920
1201,10940
1202,10957
1203,10974
1204,10990
1205,11007
1206,11023
1207,11050
1208,11068
1209,11085
1210,11102
1211,11119
1212,11136
1213,11153
1214,11170
1215,11186
1216,11203
1217,11221
1218,11239
1219,11257
1220,11273
1221,11291
1222,11308
1223,11324
1224,11342
1225,11359
1226,11376
1227,11393
1228,11410
1229,11428
1230,11445
1231,11463
1232,11481
1233,11499
1234,11516
1235,11534
1236,11551
1237,11569
1238,11593
1239,11610
1240,11627
1241,11645
1242,11662
1243,11678
1244,11696
1245,11712
1246,11730
1247,11747
1248,11764
1249,11780
1250,11797
1251,11816
1252,11834
1253,11853
1254,11871
1255,11889
1256,11906
1257,11924
1258,11941
1259,11958
1260,11976
1261,11993
1262,12010
1263,12027
1264,12045
1265,12064
1266,12082
1267,12099
1268,12121
1269,12140
1270,12158
1271,12177
1272,12194
1273,12212
1274,12230
1275,12248
1276,12265
1277,12283
1278,12301
1279,12319
1280,12338
1281,12360
1282,12379
1283,12397
1284,12415
1285,12434
1286,12452
1287,12471
1288,12489
1289,12507
1290,12531
1291,12549
1292,12577
1293,12595
1294,12614
1295,12633
1296,12651
1297,12669
1298,12687
1299,12706
1300,12724
1301,12743
1302,12762
1303,12780
1304,12799
1305,12818
1306,12837
1307,12856
1308,12874
1309,12892
1310,12910
1311,12929
1312,12947
1313,12964
1314,12982
1315,13002
1316,13021
1317,13040
1318,13058
1319,13076
1320,13094
1321,13113
1322,13135
1323,13163
1324,13191
1325,13213
1326,13231
1327,13248
1328,13272
1329,13291
1330,13312
1331,13332
1332,13352
1333,13376
1334,13397
1335,13414
1336,13433
1337,13449
1338,13468
1339,13490
1340,13511
1341,13531
1342,13551
1343,13570
1344,13591
1345,13612
1346,13633
1347,13654
1348,13676
1349,13696
1350,13716
1351,13738
1352,13759
1353,13778
1354,13800
1355,13823
1356,13843
1357,13863
1358,13885
1359,13904
1360,13924
1361,13943
1362,13963
1363,13982
1364,14003
1365,14022
1366,14040
1367,14060
1368,14079
1369,14097
1370,14116
1371,14135
1372,14155
1373,14174
1374,14194
1375,14213
1376,14232
1377,14251
1378,14270
1379,14289
1380,14308
1381,14328
1382,14348
1383,14368
1384,14388
1385,14414
1386,14433
1387,14453
1388,14472
1389,14491
1390,14510
1391,14530
1392,14550
1393,14570
1394,14590
1395,14609
1396,14629
1397,14648
1398,14669
1399,14688
1400,14708
1401,14727
1402,14748
1403,14768
1404,14788
1405,14808
1406,14828
1407,14849
1408,14869
1409,14889
1410,14909
1411,14929
1412,14954
1413,14974
1414,14994
1415,15013
1416,15034
1417,15054
1418,15073
1419,15094
1420,15114
1421,15134
1422,15154
1423,15173
1424,15194
1425,15216
1426,15236
1427,15257
1428,15277
1429,15297
1430,15317
1431,15338
1432,15358
1433,15378
1434,15398
1435,15419
1436,15440
1437,15460
1438,15487
1439,15508
1440,15529
1441,15549
1442,15569
1443,15591
1444,15611
1445,15632
1446,15653
1447,15674
1448,15694
1449,15715
1450,15735
1451,15756
1452,15777
1453,15798
1454,15820
1455,15840
1456,15861
1457,15882
1458,15903
1459,15923
1460,15943
1461,15964
1462,15984
1463,16004
1464,16026
1465,16054
1466,16075
1467,16096
1468,16116
1469,16137
1470,16157
1471,16178
1472,16198
1473,16218
1474,16238
1475,16260
1476,16283
1477,16304
1478,16325
1479,16345
1480,16366
1481,16386
1482,16407
1483,16427
1484,16448
1485,16470
1486,16489
1487,16510
1488,16531
1489,16551
1490,16572
1491,16595
1492,16615
1493,16635
1494,16657
1495,16677
1496,16698
1497,16719
1498,16740
1499,16760
1500,16782
1501,16804
1502,16826
1503,16846
1504,16867
1505,16888
1506,16909
1507,16930
1508,16950
1509,16972
1510,16994
1511,17016
1512,17038
1513,17059
1514,17081
1515,17112
1516,17134
1517,17156
1518,17177
1519,17198
1520,17221
1521,17242
1522,17265
1523,17286
1524,17308
1525,17329
1526,17352
1527,17373
1528,17394
1529,17415
1530,17436
1531,17457
1532,17478
1533,17499
1534,17520
1535,17542
1536,17564
1537,17586
1538,17609
1539,17631
1540,17655
1541,17678
1542,17701
1543,17723
1544,17744
1545,17766
1546,17788
1547,17811
1548,17833
1549,17855
1550,17876
1551,17899
1552,17923
1553,17945
1554,17968
1555,17990
1556,18011
1557,18033
1558,18054
1559,18076
1560,18098
1561,18121
1562,18143
1563,18164
1564,18190
1565,18212
1566,18234
1567,18255
1568,18277
1569,18299
1570,18321
1571,18343
1572,18365
1573,18388
1574,18410
1575,18433
1576,18455
1577,18477
1578,18499
1579,18521
1580,18543
1581,18565
1582,18586
1583,18609
1584,18632
1585,18654
1586,18676
1587,18699
1588,18723
1589,18746
1590,18770
1591,18790
1592,18812
1593,18834
1594,18858
1595,18880
1596,18903
1597,18926
1598,18948
1599,18969
1600,18990
1601,19012
1602,19034
1603,19056
1604,19079
1605,19101
1606,19124
1607,19147
1608,19169
1609,19192
1610,19214
1611,19236
1612,19259
1613,19286
1614,19308
1615,19330
1616,19353
1617,19376
1618,19399
1619,19424
1620,19447
1621,19471
1622,19492
1623,19514
1624,19537
1625,19559
1626,19583
1627,19605
1628,19628
1629,19650
1630,19673
1631,19696
1632,19718
1633,19741
1634,19763
1635,19786
1636,19816
1637,19840
1638,19863
1639,19885
1640,19907
1641,19930
1642,19953
1643,19976
1644,19999
1645,20023
1646,20046
1647,20070
1648,20093
1649,20116
1650,20140
1651,20163
1652,20186
1653,20210
1654,20233
1655,20256
1656,20280
1657,20304
1658,20328
1659,20350
1660,20372
1661,20397
1662,20422
1663,20448
1664,20472
1665,20496
1666,20521
1667,20546
1668,20570
1669,20593
1670,20616
1671,20640
1672,20662
1673,20688
1674,20711
1675,20735
1676,20761
1677,20786
1678,20811
1679,20834
1680,20857
1681,20881
1682,20914
1683,20937
1684,20961
1685,20985
1686,21010
1687,21034
1688,21056
1689,21080
1690,21104
1691,21129
1692,21154
1693,21177
1694,21200
1695,21224
1696,21248
1697,21272
1698,21297
1699,21321
1700,21345
1701,21368
1702,21391
1703,21415
1704,21441
1705,21465
1706,21488
1707,21512
1708,21536
1709,21561
1710,21585
1711,21609
1712,21633
1713,21657
1714,21680
1715,21704
1716,21728
1717,21753
1718,21778
1719,21802
1720,21825
1721,21850
1722,21874
1723,21899
1724,21924
1725,21952
1726,21975
1727,21999
1728,22023
1729,22048
1730,22072
1731,22097
1732,22122
1733,22145
1734,22169
1735,22196
1736,22221
1737,22245
1738,22269
1739,22294
1740,22317
1741,22343
1742,22370
1743,22397
1744,22423
1745,22448
1746,22472
1747,22502
1748,22527
1749,22551
1750,22575
1751,22600
1752,22623
1753,22649
1754,22674
1755,22698
1756,22722
1757,22746
1758,22771
1759,22794
1760,22819
1761,22844
1762,22869
1763,22894
1764,22919
1765,22944
1766,22969
1767,22994
1768,23020
1769,23050
1770,23075
1771,23101
1772,23127
1773,23153
1774,23177
1775,23203
1776,23228
1777,23252
1778,23277
1779,23303
1780,23328
1781,23353
1782,23380
1783,23405
1784,23433
1785,23459
1786,23485
1787,23513
1788,23539
1789,23564
1790,23590
1791,23618
1792,23642
1793,23667
1794,23692
1795,23717
1796,23742
1797,23767
1798,23791
1799,23817
1800,23843
1801,23869
1802,23895
1803,23921
1804,23945
1805,23971
1806,23997
1807,24021
1808,24048
1809,24074
1810,24100
1811,24134
1812,24160
1813,24185
1814,24210
1815,24235
1816,24260
1817,24287
1818,24312
1819,24338
1820,24363
1821,24389
1822,24415
1823,24441
1824,24466
1825,24493
1826,24517
1827,24543
1828,24570
1829,24596
1830,24622
1831,24648
1832,24681
1833,24707
1834,24732
1835,24758
1836,24785
1837,24812
1838,24839
1839,24865
1840,24890
1841,24916
1842,24942
1843,24968
1844,24995
1845,25021
1846,25047
1847,25074
1848,25101
1849,25127
1850,25153
1851,25178
1852,25206
1853,25232
1854,25257
1855,25283
1856,25309
1857,25334
1858,25360
1859,25387
1860,25412
1861,25438
1862,25464
1863,25490
1864,25516
1865,25544
1866,25571
1867,25598
1868,25624
1869,25649
1870,25674
1871,25701
1872,25733
1873,25759
1874,25786
1875,25811
1876,25839
1877,25868
1878,25894
1879,25920
1880,25947
1881,25973
1882,25998
1883,26024
1884,26051
1885,26078
1886,26106
1887,26133
1888,26159
1889,26185
1890,26210
1891,26236
1892,26262
1893,26294
1894,26319
1895,26346
1896,26372
1897,26400
1898,26426
1899,26452
1900,26479
1901,26507
1902,26535
1903,26561
1904,26587
1905,26614
1906,26642
1907,26668
1908,26694
1909,26721
1910,26748
1911,26775
1912,26802
1913,26834
1914,26862
1915,26889
1916,26916
1917,26943
1918,26970
1919,26997
1920,27025
1921,27053
1922,27079
1923,27107
1924,27135
1925,27162
1926,27190
1927,27216
1928,27242
1929,27269
1930,27296
1931,27323
1932,27359
1933,27385
1934,27413
1935,27439
1936,27467
1937,27493
1938,27521
1939,27549
1940,27576
1941,27602
1942,27629
1943,27656
1944,27683
1945,27710
1946,27737
1947,27764
1948,27792
1949,27821
1950,27849
1951,27877
1952,27928
1953,27960
1954,27995
1955,28030
1956,28060
1957,28089
1958,28118
1959,28146
1960,28176
1961,28205
1962,28233
1963,28261
1964,28291
1965,28319
1966,28348
1967,28376
1968,28405
1969,28434
1970,28462
1971,28489
1972,28517
1973,28545
1974,28575
1975,28604
1976,28633
1977,28662
1978,28689
1979,28719
1980,28749
1981,28778
1982,28809
1983,29067
1984,29102
1985,29130
1986,29159
1987,29187
1988,29215
1989,29244
1990,29275
1991,29304
1992,29338
1993,29368
1994,29397
1995,29426
1996,29455
1997,29490
1998,29529
1999,29570
2000,29626
2001,29656
2002,29689
2003,29740
2004,29794
2005,29835
2006,29874
2007,29913
2008,29947
2009,29989
2010,30019
2011,30050
2012,30079
2013,30110
2014,30160
2015,30191
2016,30220
2017,30250
2018,30279
2019,30309
2020,30340
2021,30370
2022,30398
2023,30428
2024,30457
2025,30484
2026,30512
2027,30541
2028,30570
2029,30597
2030,30626
2031,30655
2032,30697
2033,30727
2034,30757
2035,30786
2036,30814
2037,30845
2038,30874
2039,30904
2040,30934
2041,30965
2042,30995
2043,31026
2044,31055
2045,31085
2046,31114
2047,31144
2048,31174
2049,31204
2050,31236
2051,31267
2052,31296
2053,31326
2054,31354
2055,31384
2056,31415
2057,31444
2058,31474
2059,31503
2060,31532
2061,31562
2062,31591
2063,31621
2064,31652
2065,31684
2066,31714
2067,31745
2068,31781
2069,31812
2070,31842
2071,31872
2072,31902
2073,31932
2074,31961
2075,31991
2076,32021
2077,32051
2078,32080
2079,32109
2080,32141
2081,32171
2082,32201
2083,32229
2084,32258
2085,32291
2086,32322
2087,32353
2088,32382
2089,32411
2090,32441
2091,32470
2092,32499
2093,32529
2094,32560
2095,32589
2096,32618
2097,32647
2098,32678
2099,32708
2100,32738
2101,32768
2102,32797
2103,32831
2104,32861
2105,32891
2106,32920
2107,32952
2108,32983
2109,33014
2110,33046
2111,33076
2112,33108
2113,33138
2114,33169
2115,33200
2116,33230
2117,33259
2118,33290
2119,33321
2120,33352
2121,33382
2122,33412
2123,33443
2124,33474
2125,33505
2126,33537
2127,33567
2128,33598
2129,33628
2130,33659
2131,33689
2132,33721
2133,33751
2134,33783
2135,33814
2136,33846
2137,33877
2138,33908
2139,33939
2140,33971
2141,34002
2142,34033
2143,34064
2144,34095
2145,34125
2146,34155
2147,34185
2148,34217
2149,34247
2150,34278
2151,34309
2152,34340
2153,34370
2154,34402
2155,34433
2156,34468
2157,34499
2158,34530
2159,34561
2160,34593
2161,34624
2162,34656
2163,34688
2164,34720
2165,34751
2166,34781
2167,34812
2168,34844
2169,34874
2170,34906
2171,34939
2172,34972
2173,35006
2174,35037
2175,35069
2176,35101
2177,35132
2178,35165
2179,35197
2180,35229
2181,35262
2182,35294
2183,35325
2184,35355
2185,35387
2186,35420
2187,35452
2188,35484
2189,35516
2190,35552
2191,35583
2192,35615
2193,35647
2194,35680
2195,35712
2196,35743
2197,35776
2198,35806
2199,35838
2200,35870
2201,35902
2202,35932
2203,35965
2204,35996
2205,36027
2206,36061
2207,36094
2208,36127
2209,36159
2210,36192
2211,36222
2212,36254
2213,36287
2214,36321
2215,36354
2216,36386
2217,36418
2218,36450
2219,36482
2220,36513
2221,36547
2222,36580
2223,36614
2224,36648
2225,36680
2226,36712
2227,36745
2228,36776
2229,36809
2230,36842
2231,36876
2232,36908
2233,36941
2234,36973
2235,37007
2236,37039
2237,37071
2238,37103
2239,37136
2240,37172
2241,37205
2242,37238
2243,37271
2244,37302
2245,37334
2246,37367
2247,37400
2248,37432
2249,37467
2250,37499
2251,37531
2252,37563
2253,37595
2254,37629
2255,37661
2256,37695
2257,37727
2258,37761
2259,37794
2260,37827
2261,37859
2262,37891
2263,37923
2264,37955
2265,37986
2266,38019
2267,38052
2268,38085
2269,38117
2270,38151
2271,38185
2272,38218
2273,38253
2274,38291
2275,38324
2276,38357
2277,38391
2278,38424
2279,38459
2280,38492
2281,38526
2282,38560
2283,38593
2284,38625
2285,38657
2286,38691
2287,38724
2288,38757
2289,38790
2290,38824
2291,38858
2292,38891
2293,38925
2294,38959
2295,38994
2296,39027
2297,39060
2298,39094
2299,39126
2300,39161
2301,39194
2302,39226
2303,39259
2304,39293
2305,39326
2306,39358
2307,39394
2308,39429
2309,39461
2310,39495
2311,39528
2312,39562
2313,39596
2314,39631
2315,39665
2316,39697
2317,39730
2318,39765
2319,39799
2320,39834
2321,39868
2322,39903
2323,39936
2324,39971
2325,40004
2326,40036
2327,40070
2328,40105
2329,40138
2330,40171
2331,40204
2332,40238
2333,40272
2334,40306
2335,40340
2336,40373
2337,40408
2338,40444
2339,40477
2340,40510
2341,40542
2342,40575
2343,40609
2344,40644
2345,40677
2346,40710
2347,40744
2348,40779
2349,40812
2350,40846
2351,40878
2352,40911
2353,40946
2354,40985
2355,41019
2356,41053
2357,41086
2358,41121
2359,41157
2360,41192
2361,41226
2362,41260
2363,41294
2364,41329
2365,41363
2366,41397
2367,41432
2368,41467
2369,41507
2370,41542
2371,41578
2372,41612
2373,41647
2374,41680
2375,41714
2376,41749
2377,41783
2378,41818
2379,41853
2380,41888
2381,41923
2382,41958
2383,41991
2384,42025
2385,42068
2386,42102
2387,42137
2388,42172
2389,42206
2390,42241
2391,42274
2392,42309
2393,42343
2394,42388
2395,42440
2396,42475
2397,42510
2398,42545
2399,42580
2400,42622
2401,42656
2402,42691
2403,42726
2404,42761
2405,42797
2406,42831
2407,42866
2408,42903
2409,42937
2410,42973
2411,43005
2412,43041
2413,43077
2414,43112
2415,43155
2416,43191
2417,43226
2418,43261
2419,43296
2420,43333
2421,43369
2422,43405
2423,43440
2424,43476
2425,43511
2426,43546
2427,43582
2428,43618
2429,43653
2430,43688
2431,43723
2432,43757
2433,43794
2434,43828
2435,43864
2436,43899
2437,43935
2438,43970
2439,44006
2440,44041
2441,44078
2442,44114
2443,44149
2444,44184
2445,44226
2446,44262
2447,44298
2448,44335
2449,44371
2450,44408
2451,44444
2452,44481
2453,44516
2454,44552
2455,44588
2456,44626
2457,44662
2458,44698
2459,44741
2460,44777
2461,44811
2462,44848
2463,44884
2464,44920
2465,44957
2466,44993
2467,45029
2468,45063
2469,45099
2470,45136
2471,45173
2472,45209
2473,45244
2474,45280
2475,45317
2476,45353
2477,45389
2478,45426
2479,45462
2480,45500
2481,45536
2482,45571
2483,45606
2484,45643
2485,45679
2486,45716
2487,45753
2488,45790
2489,45827
2490,45869
2491,45905
2492,45942
2493,45979
2494,46015
2495,46051
2496,46087
2497,46123
2498,46158
2499,46195
2500,46230
2501,46265
2502,46302
2503,46338
2504,46377
2505,46414
2506,46452
2507,46487
2508,46524
2509,46560
2510,46596
2511,46633
2512,46670
2513,46707
2514,46744
2515,46782
2516,46820
2517,46859
2518,46896
2519,46934
2520,46971
2521,47008
2522,47044
2523,47080
2524,47116
2525,47154
2526,47192
2527,47228
2528,47265
2529,47301
2530,47338
2531,47376
2532,47412
2533,47453
2534,47489
2535,47524
2536,47562
2537,47598
2538,47636
2539,47674
2540,47711
2541,47746
2542,47783
2543,47820
2544,47858
2545,47894
2546,47931
2547,47969
2548,48011
2549,48049
2550,48086
